<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
ECPG,D,20120102,21.26,21.26,21.26,21.26,0
ECYT,D,20120102,3.76,3.76,3.76,3.76,0
EDAP,D,20120102,1.69,1.69,1.69,1.69,0
EDGW,D,20120102,2.76,2.76,2.76,2.76,0
EDUC,D,20120102,5.01,5.01,5.01,5.01,0
EEFT,D,20120102,18.48,18.48,18.48,18.48,0
EEI,D,20120102,16.16,16.16,16.16,16.16,0
EFII,D,20120102,14.25,14.25,14.25,14.25,0
EFSC,D,20120102,14.8,14.8,14.8,14.8,0
EGAN,D,20120102,6.91,6.91,6.91,6.91,0
EGBN,D,20120102,14.54,14.54,14.54,14.54,0
EGHT,D,20120102,3.17,3.17,3.17,3.17,0
EGLE,D,20120102,1353.6,1353.6,1353.6,1353.6,0
EGOV,D,20120102,13.31,13.31,13.31,13.31,0
EHTH,D,20120102,14.7,14.7,14.7,14.7,0
ELGX,D,20120102,11.48,11.48,11.48,11.48,0
ELON,D,20120102,48.7,48.7,48.7,48.7,0
ELSE,D,20120102,3.93,3.93,3.93,3.93,0
ELTK,D,20120102,1.3,1.3,1.3,1.3,0
EMCF,D,20120102,15.95,15.95,15.95,15.95,0
EMCI,D,20120102,13.7133,13.7133,13.7133,13.7133,0
EMIF,D,20120102,28.84,28.84,28.84,28.84,0
EMITF,D,20120102,138,138,138,138,0
EMKR,D,20120102,3.44,3.44,3.44,3.44,0
EML,D,20120102,20,20,20,20,0
EMMS,D,20120102,2.64,2.64,2.64,2.64,0
ENDP,D,20120102,34.53,34.53,34.53,34.53,0
ENG,D,20120102,2.11,2.11,2.11,2.11,0
ENOC,D,20120102,10.87,10.87,10.87,10.87,0
ENSG,D,20120102,12.25,12.25,12.25,12.25,0
ENTG,D,20120102,8.73,8.73,8.73,8.73,0
EPAY,D,20120102,23.17,23.17,23.17,23.17,0
EQIX,D,20120102,101.4,101.4,101.4,101.4,0
ERIC,D,20120102,10.13,10.13,10.13,10.13,0
ERIE,D,20120102,78.16,78.16,78.16,78.16,0
ERII,D,20120102,2.58,2.58,2.58,2.58,0
ESBK,D,20120102,16.38,16.38,16.38,16.38,0
ESCA,D,20120102,4.43,4.43,4.43,4.43,0
ESEA,D,20120102,2.35,2.35,2.35,2.35,0
ESGR,D,20120102,98.2,98.2,98.2,98.2,0
ESIO,D,20120102,14.48,14.48,14.48,14.48,0
ESLT,D,20120102,40.93,40.93,40.93,40.93,0
ESRX,D,20120102,44.69,44.69,44.69,44.69,0
ESSA,D,20120102,10.47,10.47,10.47,10.47,0
ETFC,D,20120102,7.96,7.96,7.96,7.96,0
ETRM,D,20120102,25.5,25.5,25.5,25.5,0
EUFN,D,20120102,15.15,15.15,15.15,15.15,0
EVEP,D,20120102,65.9,65.9,65.9,65.9,0
EVK,D,20120102,1.9,1.9,1.9,1.9,0
EVOL,D,20120102,7.45,7.45,7.45,7.45,0
EWBC,D,20120102,19.75,19.75,19.75,19.75,0
EXAC,D,20120102,16.47,16.47,16.47,16.47,0
EXAS,D,20120102,8.12,8.12,8.12,8.12,0
EXEL,D,20120102,4.74,4.74,4.74,4.74,0
EXFO,D,20120102,5.87,5.87,5.87,5.87,0
EXLS,D,20120102,22.37,22.37,22.37,22.37,0
EXPD,D,20120102,40.96,40.96,40.96,40.96,0
EXPE,D,20120102,29.02,29.02,29.02,29.02,0
EXPO,D,20120102,22.985,22.985,22.985,22.985,0
EXTR,D,20120102,2.92,2.92,2.92,2.92,0
EXXI,D,20120102,31.88,31.88,31.88,31.88,0
EZPW,D,20120102,26.37,26.37,26.37,26.37,0
FALC,D,20120102,2.58,2.58,2.58,2.58,0
FARM,D,20120102,7.64,7.64,7.64,7.64,0
FARO,D,20120102,46,46,46,46,0
FAST,D,20120102,43.61,43.61,43.61,43.61,0
FBIZ,D,20120102,16.5,16.5,16.5,16.5,0
FBMS,D,20120102,7.62,7.62,7.62,7.62,0
FBNC,D,20120102,11.15,11.15,11.15,11.15,0
FBNK,D,20120102,13.01,13.01,13.01,13.01,0
FBSS,D,20120102,10.85,10.85,10.85,10.85,0
FCAL,D,20120102,3.26,3.26,3.26,3.26,0
FCAP,D,20120102,18.53,18.53,18.53,18.53,0
FCBC,D,20120102,12.48,12.48,12.48,12.48,0
FCCO,D,20120102,6.19,6.19,6.19,6.19,0
FCCY,D,20120102,6.98,6.98,6.98,6.98,0
FCEL,D,20120102,10.44,10.44,10.44,10.44,0
FCNCA,D,20120102,174.99,174.99,174.99,174.99,0
FDEF,D,20120102,14.59,14.59,14.59,14.59,0
FDUS,D,20120102,12.97,12.97,12.97,12.97,0
FEIM,D,20120102,7.69,7.69,7.69,7.69,0
FELE,D,20120102,21.78,21.78,21.78,21.78,0
FFBC,D,20120102,16.64,16.64,16.64,16.64,0
FFBCW,D,20120102,5.49,5.49,5.49,5.49,0
FFHL,D,20120102,1.23,1.23,1.23,1.23,0
FFIC,D,20120102,12.63,12.63,12.63,12.63,0
FFIN,D,20120102,16.715,16.715,16.715,16.715,0
FFIV,D,20120102,106.12,106.12,106.12,106.12,0
FFKT,D,20120102,4.49,4.49,4.49,4.49,0
FFNW,D,20120102,5.9,5.9,5.9,5.9,0
FHCO,D,20120102,4.51,4.51,4.51,4.51,0
FIBK,D,20120102,13.03,13.03,13.03,13.03,0
FINL,D,20120102,19.28,19.28,19.28,19.28,0
FISI,D,20120102,16.14,16.14,16.14,16.14,0
FISV,D,20120102,29.37,29.37,29.37,29.37,0
FITB,D,20120102,12.72,12.72,12.72,12.72,0
FIZZ,D,20120102,16.07,16.07,16.07,16.07,0
FLAT,D,20120102,58.33,58.33,58.33,58.33,0
FLDM,D,20120102,13.16,13.16,13.16,13.16,0
FLEX,D,20120102,5.66,5.66,5.66,5.66,0
FLIC,D,20120102,17.5467,17.5467,17.5467,17.5467,0
FLIR,D,20120102,25.07,25.07,25.07,25.07,0
FLWS,D,20120102,2.2,2.2,2.2,2.2,0
FLXS,D,20120102,13.84,13.84,13.84,13.84,0
FMBI,D,20120102,10.13,10.13,10.13,10.13,0
FMNB,D,20120102,4.95,4.95,4.95,4.95,0
FNGN,D,20120102,22.33,22.33,22.33,22.33,0
FNLC,D,20120102,15.37,15.37,15.37,15.37,0
FNSR,D,20120102,16.75,16.75,16.75,16.75,0
FOLD,D,20120102,3.44,3.44,3.44,3.44,0
FONE,D,20120102,23.71,23.71,23.71,23.71,0
FONR,D,20120102,1.7,1.7,1.7,1.7,0
FORD,D,20120102,1.67,1.67,1.67,1.67,0
FORM,D,20120102,5.06,5.06,5.06,5.06,0
FORR,D,20120102,33.94,33.94,33.94,33.94,0
FORTY,D,20120102,14.77,14.77,14.77,14.77,0
FOSL,D,20120102,79.36,79.36,79.36,79.36,0
FRAN,D,20120102,17.3,17.3,17.3,17.3,0
FRBK,D,20120102,1.45,1.45,1.45,1.45,0
FRED,D,20120102,14.58,14.58,14.58,14.58,0
FRME,D,20120102,8.47,8.47,8.47,8.47,0
FSBK,D,20120102,3.2,3.2,3.2,3.2,0
FSC,D,20120102,9.57,9.57,9.57,9.57,0
FSFG,D,20120102,16.92,16.92,16.92,16.92,0
FSLR,D,20120102,33.76,33.76,33.76,33.76,0
FSTR,D,20120102,28.29,28.29,28.29,28.29,0
FTEK,D,20120102,6.58,6.58,6.58,6.58,0
FTNT,D,20120102,21.81,21.81,21.81,21.81,0
FTR,D,20120102,5.15,5.15,5.15,5.15,0
FUEL,D,20120102,2.85,2.85,2.85,2.85,0
FULT,D,20120102,9.81,9.81,9.81,9.81,0
FUNC,D,20120102,3.16,3.16,3.16,3.16,0
FUND,D,20120102,6.3,6.3,6.3,6.3,0
FWRD,D,20120102,32.05,32.05,32.05,32.05,0
GABC,D,20120102,12.1267,12.1267,12.1267,12.1267,0
GAIA,D,20120102,3.24,3.24,3.24,3.24,0
GAIN,D,20120102,7.27,7.27,7.27,7.27,0
GALE,D,20120102,9.4,9.4,9.4,9.4,0
GALT,D,20120102,5.76,5.76,5.76,5.76,0
GASS,D,20120102,3.86,3.86,3.86,3.86,0
GBCI,D,20120102,12.03,12.03,12.03,12.03,0
GBDC,D,20120102,15.5,15.5,15.5,15.5,0
GBLI,D,20120102,19.83,19.83,19.83,19.83,0
GBNK,D,20120102,7.35,7.35,7.35,7.35,0
GCBC,D,20120102,8.505,8.505,8.505,8.505,0
GCVRZ,D,20120102,1.2,1.2,1.2,1.2,0
GENC,D,20120102,4.6267,4.6267,4.6267,4.6267,0
GENE,D,20120102,15.15,15.15,15.15,15.15,0
GERN,D,20120102,1.48,1.48,1.48,1.48,0
GEVO,D,20120102,1887,1887,1887,1887,0
GFED,D,20120102,5.7,5.7,5.7,5.7,0
GFN,D,20120102,2.65,2.65,2.65,2.65,0
GGAL,D,20120102,5.93,5.93,5.93,5.93,0
GHDX,D,20120102,25.39,25.39,25.39,25.39,0
GIFI,D,20120102,29.21,29.21,29.21,29.21,0
GIGA,D,20120102,1.42,1.42,1.42,1.42,0
GIGM,D,20120102,4.15,4.15,4.15,4.15,0
GIII,D,20120102,12.455,12.455,12.455,12.455,0
GILD,D,20120102,20.465,20.465,20.465,20.465,0
GILT,D,20120102,3.95,3.95,3.95,3.95,0
GLAD,D,20120102,7.63,7.63,7.63,7.63,0
GLBS,D,20120102,13.24,13.24,13.24,13.24,0
GLBZ,D,20120102,8.15,8.15,8.15,8.15,0
GLDD,D,20120102,5.56,5.56,5.56,5.56,0
GLNG,D,20120102,44.45,44.45,44.45,44.45,0
GLRE,D,20120102,23.67,23.67,23.67,23.67,0
GLUU,D,20120102,3.14,3.14,3.14,3.14,0
GMLP,D,20120102,30.66,30.66,30.66,30.66,0
GNCMA,D,20120102,9.79,9.79,9.79,9.79,0
GNMK,D,20120102,4.12,4.12,4.12,4.12,0
GNTX,D,20120102,14.795,14.795,14.795,14.795,0
GOLD,D,20120102,102.1,102.1,102.1,102.1,0
GOOD,D,20120102,17.55,17.55,17.55,17.55,0
GOODO,D,20120102,23.92,23.92,23.92,23.92,0
GOODP,D,20120102,24.11,24.11,24.11,24.11,0
GOOG,D,20120102,322.95,322.95,322.95,322.95,0
GPIC,D,20120102,6.2,6.2,6.2,6.2,0
GPOR,D,20120102,29.45,29.45,29.45,29.45,0
GPRE,D,20120102,9.76,9.76,9.76,9.76,0
GPRO,D,20120102,59.12,59.12,59.12,59.12,0
GRFS,D,20120102,5.53,5.53,5.53,5.53,0
GRID,D,20120102,24.93,24.93,24.93,24.93,0
GRIF,D,20120102,26.46,26.46,26.46,26.46,0
GRMN,D,20120102,39.81,39.81,39.81,39.81,0
GROW,D,20120102,6.03,6.03,6.03,6.03,0
GRPN,D,20120102,20.63,20.63,20.63,20.63,0
GRVY,D,20120102,11.6,11.6,11.6,11.6,0
GSBC,D,20120102,23.59,23.59,23.59,23.59,0
GSIT,D,20120102,4.68,4.68,4.68,4.68,0
GSM,D,20120102,13.39,13.39,13.39,13.39,0
GSOL,D,20120102,4.85,4.85,4.85,4.85,0
GSVC,D,20120102,13.95,13.95,13.95,13.95,0
GT,D,20120102,14.17,14.17,14.17,14.17,0
GTIM,D,20120102,1.15,1.15,1.15,1.15,0
GTLS,D,20120102,54.07,54.07,54.07,54.07,0
GTXI,D,20120102,3.36,3.36,3.36,3.36,0
GUID,D,20120102,6.48,6.48,6.48,6.48,0
GULF,D,20120102,14.63,14.63,14.63,14.63,0
GURE,D,20120102,1.79,1.79,1.79,1.79,0
GYRO,D,20120102,102,102,102,102,0
HA,D,20120102,5.8,5.8,5.8,5.8,0
HAIN,D,20120102,18.33,18.33,18.33,18.33,0
HALL,D,20120102,6.99,6.99,6.99,6.99,0
HALO,D,20120102,9.51,9.51,9.51,9.51,0
HAS,D,20120102,31.89,31.89,31.89,31.89,0
HAYN,D,20120102,54.6,54.6,54.6,54.6,0
HBAN,D,20120102,5.49,5.49,5.49,5.49,0
HBANP,D,20120102,1099.99,1099.99,1099.99,1099.99,0
HBCP,D,20120102,15.5,15.5,15.5,15.5,0
HBHC,D,20120102,31.97,31.97,31.97,31.97,0
HBIO,D,20120102,3.87,3.87,3.87,3.87,0
HBNC,D,20120102,7.7022,7.7022,7.7022,7.7022,0
HCCI,D,20120102,16.56,16.56,16.56,16.56,0
HCKT,D,20120102,3.74,3.74,3.74,3.74,0
HCOM,D,20120102,15.4,15.4,15.4,15.4,0
HCSG,D,20120102,17.69,17.69,17.69,17.69,0
HDNG,D,20120102,8.05,8.05,8.05,8.05,0
HDSN,D,20120102,1.45,1.45,1.45,1.45,0
HEES,D,20120102,13.42,13.42,13.42,13.42,0
HELE,D,20120102,30.7,30.7,30.7,30.7,0
HFBC,D,20120102,6.45,6.45,6.45,6.45,0
HFBL,D,20120102,14.19,14.19,14.19,14.19,0
HFWA,D,20120102,12.56,12.56,12.56,12.56,0
HGSH,D,20120102,0.62,0.62,0.62,0.62,0
HIBB,D,20120102,45.18,45.18,45.18,45.18,0
HIFS,D,20120102,47.8,47.8,47.8,47.8,0
HIHO,D,20120102,2.1,2.1,2.1,2.1,0
HIMX,D,20120102,1,1,1,1,0
HLIT,D,20120102,5.04,5.04,5.04,5.04,0
HMNF,D,20120102,1.94,1.94,1.94,1.94,0
HMNY,D,20120102,2.01,2.01,2.01,2.01,0
HMSY,D,20120102,31.98,31.98,31.98,31.98,0
HNH,D,20120102,9.9,9.9,9.9,9.9,0
HNRG,D,20120102,9.93,9.93,9.93,9.93,0
HOFT,D,20120102,11.47,11.47,11.47,11.47,0
HOLI,D,20120102,8.32,8.32,8.32,8.32,0
HOLX,D,20120102,17.51,17.51,17.51,17.51,0
HOMB,D,20120102,6.4775,6.4775,6.4775,6.4775,0
HOVNP,D,20120102,1.4,1.4,1.4,1.4,0
HPJ,D,20120102,0.98,0.98,0.98,0.98,0
HRZN,D,20120102,16.32,16.32,16.32,16.32,0
HSIC,D,20120102,64.43,64.43,64.43,64.43,0
HSII,D,20120102,21.54,21.54,21.54,21.54,0
HSKA,D,20120102,7.3,7.3,7.3,7.3,0
HSNI,D,20120102,36.26,36.26,36.26,36.26,0
HSTM,D,20120102,18.45,18.45,18.45,18.45,0
HTBK,D,20120102,4.74,4.74,4.74,4.74,0
HTHT,D,20120102,14.2,14.2,14.2,14.2,0
HTLD,D,20120102,14.29,14.29,14.29,14.29,0
HTLF,D,20120102,15.34,15.34,15.34,15.34,0
HUBG,D,20120102,32.43,32.43,32.43,32.43,0
HURC,D,20120102,21,21,21,21,0
HURN,D,20120102,38.74,38.74,38.74,38.74,0
HWBK,D,20120102,6.05,6.05,6.05,6.05,0
HWCC,D,20120102,13.82,13.82,13.82,13.82,0
HWKN,D,20120102,36.86,36.86,36.86,36.86,0
HYGS,D,20120102,5.25,5.25,5.25,5.25,0
HZNP,D,20120102,4,4,4,4,0
IART,D,20120102,15.415,15.415,15.415,15.415,0
IBB,D,20120102,104.35,104.35,104.35,104.35,0
IBCP,D,20120102,1.33,1.33,1.33,1.33,0
IBKC,D,20120102,49.3,49.3,49.3,49.3,0
IBKR,D,20120102,14.94,14.94,14.94,14.94,0
IBOC,D,20120102,18.33,18.33,18.33,18.33,0
ICAD,D,20120102,0.57,0.57,0.57,0.57,0
ICCC,D,20120102,4.65,4.65,4.65,4.65,0
ICFI,D,20120102,24.78,24.78,24.78,24.78,0
ICLN,D,20120102,8.54,8.54,8.54,8.54,0
ICLR,D,20120102,17.11,17.11,17.11,17.11,0
ICON,D,20120102,16.29,16.29,16.29,16.29,0
ICUI,D,20120102,45,45,45,45,0
IDCC,D,20120102,43.57,43.57,43.57,43.57,0
IDRA,D,20120102,1.05,1.05,1.05,1.05,0
IDSA,D,20120102,5.3,5.3,5.3,5.3,0
IDSY,D,20120102,4.73,4.73,4.73,4.73,0
IDTI,D,20120102,5.46,5.46,5.46,5.46,0
IDXX,D,20120102,38.48,38.48,38.48,38.48,0
IEP,D,20120102,35.8,35.8,35.8,35.8,0
IESC,D,20120102,1.85,1.85,1.85,1.85,0
IFEU,D,20120102,24.69,24.69,24.69,24.69,0
IFGL,D,20120102,25.25,25.25,25.25,25.25,0
IFON,D,20120102,0.62,0.62,0.62,0.62,0
IGLD,D,20120102,11.13,11.13,11.13,11.13,0
IGOV,D,20120102,99.9,99.9,99.9,99.9,0
III,D,20120102,1.03,1.03,1.03,1.03,0
IIIN,D,20120102,10.99,10.99,10.99,10.99,0
IIJI,D,20120102,8.85,8.85,8.85,8.85,0
IIN,D,20120102,6.26,6.26,6.26,6.26,0
IIVI,D,20120102,18.36,18.36,18.36,18.36,0
IKNX,D,20120102,7.57,7.57,7.57,7.57,0
ILMN,D,20120102,30.48,30.48,30.48,30.48,0
IMGN,D,20120102,11.58,11.58,11.58,11.58,0
IMI,D,20120102,8.58,8.58,8.58,8.58,0
IMKTA,D,20120102,15.06,15.06,15.06,15.06,0
IMMR,D,20120102,5.18,5.18,5.18,5.18,0
IMMU,D,20120102,3.33,3.33,3.33,3.33,0
IMMY,D,20120102,0.6,0.6,0.6,0.6,0
IMOS,D,20120102,5.16,5.16,5.16,5.16,0
INAP,D,20120102,5.94,5.94,5.94,5.94,0
INCY,D,20120102,15.01,15.01,15.01,15.01,0
INDB,D,20120102,27.29,27.29,27.29,27.29,0
INDY,D,20120102,19.75,19.75,19.75,19.75,0
INFI,D,20120102,8.84,8.84,8.84,8.84,0
INFN,D,20120102,6.28,6.28,6.28,6.28,0
INOD,D,20120102,3.94,3.94,3.94,3.94,0
INSM,D,20120102,3.05,3.05,3.05,3.05,0
INTC,D,20120102,24.25,24.25,24.25,24.25,0
INTG,D,20120102,18,18,18,18,0
INTL,D,20120102,23.57,23.57,23.57,23.57,0
INTU,D,20120102,52.59,52.59,52.59,52.59,0
INTX,D,20120102,11.09,11.09,11.09,11.09,0
INVE,D,20120102,22.3,22.3,22.3,22.3,0
INWK,D,20120102,9.31,9.31,9.31,9.31,0
IOSP,D,20120102,28.07,28.07,28.07,28.07,0
IPAR,D,20120102,15.56,15.56,15.56,15.56,0
IPAS,D,20120102,1.42,1.42,1.42,1.42,0
IPCC,D,20120102,56.74,56.74,56.74,56.74,0
IPCI,D,20120102,2.74,2.74,2.74,2.74,0
IPGP,D,20120102,33.87,33.87,33.87,33.87,0
IPHS,D,20120102,48.56,48.56,48.56,48.56,0
IPXL,D,20120102,20.17,20.17,20.17,20.17,0
IRBT,D,20120102,29.85,29.85,29.85,29.85,0
IRDM,D,20120102,7.71,7.71,7.71,7.71,0
IRIX,D,20120102,3.74,3.74,3.74,3.74,0
IROQ,D,20120102,11.22,11.22,11.22,11.22,0
IRWD,D,20120102,11.97,11.97,11.97,11.97,0
ISBC,D,20120102,5.2863,5.2863,5.2863,5.2863,0
ISCA,D,20120102,25.35,25.35,25.35,25.35,0
ISHG,D,20120102,96.99,96.99,96.99,96.99,0
ISIG,D,20120102,2.01,2.01,2.01,2.01,0
ISM,D,20120102,19.79,19.79,19.79,19.79,0
ISNS,D,20120102,6.51,6.51,6.51,6.51,0
ISRG,D,20120102,463.01,463.01,463.01,463.01,0
ISRL,D,20120102,89.56,89.56,89.56,89.56,0
ISSC,D,20120102,3.44,3.44,3.44,3.44,0
ITIC,D,20120102,35.77,35.77,35.77,35.77,0
ITRI,D,20120102,35.77,35.77,35.77,35.77,0
ITRN,D,20120102,13.66,13.66,13.66,13.66,0
IVAC,D,20120102,7.4,7.4,7.4,7.4,0
IXYS,D,20120102,10.83,10.83,10.83,10.83,0
JACK,D,20120102,20.9,20.9,20.9,20.9,0
JAKK,D,20120102,14.11,14.11,14.11,14.11,0
JASO,D,20120102,6.7,6.7,6.7,6.7,0
JAZZ,D,20120102,38.63,38.63,38.63,38.63,0
JBHT,D,20120102,45.07,45.07,45.07,45.07,0
JBLU,D,20120102,5.2,5.2,5.2,5.2,0
JBSS,D,20120102,7.54,7.54,7.54,7.54,0
JCOM,D,20120102,28.14,28.14,28.14,28.14,0
JCS,D,20120102,14.06,14.06,14.06,14.06,0
JCTCF,D,20120102,4.085,4.085,4.085,4.085,0
JJSF,D,20120102,53.28,53.28,53.28,53.28,0
JKHY,D,20120102,33.61,33.61,33.61,33.61,0
JMBA,D,20120102,6.55,6.55,6.55,6.55,0
JOBS,D,20120102,20.97,20.97,20.97,20.97,0
JOUT,D,20120102,15.35,15.35,15.35,15.35,0
JRJC,D,20120102,1.62,1.62,1.62,1.62,0
JSM,D,20120102,19.04,19.04,19.04,19.04,0
JVA,D,20120102,7.84,7.84,7.84,7.84,0
JXSB,D,20120102,13.75,13.75,13.75,13.75,0
KALU,D,20120102,45.88,45.88,45.88,45.88,0
KCAP,D,20120102,6.31,6.31,6.31,6.31,0
KELYA,D,20120102,13.68,13.68,13.68,13.68,0
KELYB,D,20120102,13.8,13.8,13.8,13.8,0
KEQU,D,20120102,8.16,8.16,8.16,8.16,0
KERX,D,20120102,2.53,2.53,2.53,2.53,0
KEYW,D,20120102,7.4,7.4,7.4,7.4,0
KFFB,D,20120102,9.18,9.18,9.18,9.18,0
KFRC,D,20120102,12.33,12.33,12.33,12.33,0
KGJI,D,20120102,1.14,1.14,1.14,1.14,0
KINS,D,20120102,3.59,3.59,3.59,3.59,0
KIRK,D,20120102,13.3,13.3,13.3,13.3,0
KLAC,D,20120102,48.25,48.25,48.25,48.25,0
KLIC,D,20120102,9.25,9.25,9.25,9.25,0
KNDI,D,20120102,3.7,3.7,3.7,3.7,0
KONA,D,20120102,6.12,6.12,6.12,6.12,0
KONE,D,20120102,3.1,3.1,3.1,3.1,0
KOOL,D,20120102,14.2,14.2,14.2,14.2,0
KOPN,D,20120102,3.88,3.88,3.88,3.88,0
KOSS,D,20120102,5,5,5,5,0
KRNY,D,20120102,9.5,9.5,9.5,9.5,0
KTCC,D,20120102,4.69,4.69,4.69,4.69,0
KTEC,D,20120102,13.05,13.05,13.05,13.05,0
KTOS,D,20120102,5.97,5.97,5.97,5.97,0
KVHI,D,20120102,7.78,7.78,7.78,7.78,0
LABL,D,20120102,25.73,25.73,25.73,25.73,0
LAKE,D,20120102,9.28,9.28,9.28,9.28,0
LAMR,D,20120102,27.5,27.5,27.5,27.5,0
LANC,D,20120102,69.34,69.34,69.34,69.34,0
LARK,D,20120102,18.7,18.7,18.7,18.7,0
LAWS,D,20120102,15.43,15.43,15.43,15.43,0
LAYN,D,20120102,24.2,24.2,24.2,24.2,0
LBAI,D,20120102,8.62,8.62,8.62,8.62,0
LBIX,D,20120102,2.82,2.82,2.82,2.82,0
LBTYA,D,20120102,20.9658,20.9658,20.9658,20.9658,0
LBTYB,D,20120102,41.1,41.1,41.1,41.1,0
LBTYK,D,20120102,39.52,39.52,39.52,39.52,0
LCNB,D,20120102,12.95,12.95,12.95,12.95,0
LCUT,D,20120102,12.14,12.14,12.14,12.14,0
LECO,D,20120102,39.12,39.12,39.12,39.12,0
LEDS,D,20120102,3.41,3.41,3.41,3.41,0
LFUS,D,20120102,42.98,42.98,42.98,42.98,0
LGCY,D,20120102,28.24,28.24,28.24,28.24,0
LGND,D,20120102,11.87,11.87,11.87,11.87,0
LHCG,D,20120102,12.83,12.83,12.83,12.83,0
LIFE,D,20120102,38.91,38.91,38.91,38.91,0
LINC,D,20120102,7.9,7.9,7.9,7.9,0
LION,D,20120102,6.08,6.08,6.08,6.08,0
LIVE,D,20120102,1.33,1.33,1.33,1.33,0
LKFN,D,20120102,17.2467,17.2467,17.2467,17.2467,0
LKQ,D,20120102,15.04,15.04,15.04,15.04,0
LLNW,D,20120102,2.96,2.96,2.96,2.96,0
LMAT,D,20120102,5.92,5.92,5.92,5.92,0
LMNR,D,20120102,16.91,16.91,16.91,16.91,0
LMNX,D,20120102,21.23,21.23,21.23,21.23,0
LMOS,D,20120102,15.34,15.34,15.34,15.34,0
LNCE,D,20120102,22.5,22.5,22.5,22.5,0
LNDC,D,20120102,5.52,5.52,5.52,5.52,0
LOAN,D,20120102,1.01,1.01,1.01,1.01,0
LOGI,D,20120102,7.78,7.78,7.78,7.78,0
LOGM,D,20120102,38.55,38.55,38.55,38.55,0
LOPE,D,20120102,15.96,15.96,15.96,15.96,0
LORL,D,20120102,64.88,64.88,64.88,64.88,0
LPLA,D,20120102,30.54,30.54,30.54,30.54,0
LPNT,D,20120102,37.15,37.15,37.15,37.15,0
LPSN,D,20120102,12.55,12.55,12.55,12.55,0
LPTH,D,20120102,1.07,1.07,1.07,1.07,0
LQDT,D,20120102,36.9,36.9,36.9,36.9,0
LRAD,D,20120102,1.49,1.49,1.49,1.49,0
LRCX,D,20120102,37.02,37.02,37.02,37.02,0
LSBK,D,20120102,9.55,9.55,9.55,9.55,0
LSCC,D,20120102,5.94,5.94,5.94,5.94,0
LSTR,D,20120102,47.92,47.92,47.92,47.92,0
LTBR,D,20120102,10.2,10.2,10.2,10.2,0
LTRX,D,20120102,2.49,2.49,2.49,2.49,0
LULU,D,20120102,46.66,46.66,46.66,46.66,0
LUNA,D,20120102,1.73,1.73,1.73,1.73,0
LWAY,D,20120102,9.64,9.64,9.64,9.64,0
LXRX,D,20120102,9.03,9.03,9.03,9.03,0
LYTS,D,20120102,6,6,6,6,0
MAGS,D,20120102,3.74,3.74,3.74,3.74,0
MANH,D,20120102,10.12,10.12,10.12,10.12,0
MANT,D,20120102,31.24,31.24,31.24,31.24,0
MARPS,D,20120102,25,25,25,25,0
MASI,D,20120102,18.68,18.68,18.68,18.68,0
MAT,D,20120102,27.76,27.76,27.76,27.76,0
MATR,D,20120102,4.65,4.65,4.65,4.65,0
MATW,D,20120102,31.43,31.43,31.43,31.43,0
MAYS,D,20120102,14.81,14.81,14.81,14.81,0
MBFI,D,20120102,17.1,17.1,17.1,17.1,0
MBTF,D,20120102,1.12,1.12,1.12,1.12,0
MBWM,D,20120102,9.75,9.75,9.75,9.75,0
MCBC,D,20120102,2.28,2.28,2.28,2.28,0
MCEP,D,20120102,18.35,18.35,18.35,18.35,0
MCHP,D,20120102,36.63,36.63,36.63,36.63,0
MCHX,D,20120102,6.25,6.25,6.25,6.25,0
MCRI,D,20120102,10.19,10.19,10.19,10.19,0
MDCA,D,20120102,13.52,13.52,13.52,13.52,0
MDCO,D,20120102,18.64,18.64,18.64,18.64,0
MDRX,D,20120102,18.94,18.94,18.94,18.94,0
MDSO,D,20120102,10.875,10.875,10.875,10.875,0
MELI,D,20120102,79.54,79.54,79.54,79.54,0
MEOH,D,20120102,22.82,22.82,22.82,22.82,0
MERC,D,20120102,6.1,6.1,6.1,6.1,0
MFNC,D,20120102,5.42,5.42,5.42,5.42,0
MFSF,D,20120102,7.07,7.07,7.07,7.07,0
MGEE,D,20120102,31.18,31.18,31.18,31.18,0
MGIC,D,20120102,5.17,5.17,5.17,5.17,0
MGLN,D,20120102,49.47,49.47,49.47,49.47,0
MGPI,D,20120102,5.04,5.04,5.04,5.04,0
MGRC,D,20120102,28.99,28.99,28.99,28.99,0
MGYR,D,20120102,2.46,2.46,2.46,2.46,0
MHLD,D,20120102,8.76,8.76,8.76,8.76,0
MIDD,D,20120102,31.3467,31.3467,31.3467,31.3467,0
MIND,D,20120102,21.84,21.84,21.84,21.84,0
MINI,D,20120102,17.45,17.45,17.45,17.45,0
MITK,D,20120102,7.25,7.25,7.25,7.25,0
MITL,D,20120102,3.18,3.18,3.18,3.18,0
MKSI,D,20120102,27.82,27.82,27.82,27.82,0
MKTX,D,20120102,30.11,30.11,30.11,30.11,0
MLAB,D,20120102,41.44,41.44,41.44,41.44,0
MLHR,D,20120102,18.45,18.45,18.45,18.45,0
MLNK,D,20120102,5.4,5.4,5.4,5.4,0
MLNX,D,20120102,32.49,32.49,32.49,32.49,0
MLVF,D,20120102,5.9,5.9,5.9,5.9,0
MMLP,D,20120102,34.44,34.44,34.44,34.44,0
MMSI,D,20120102,13.38,13.38,13.38,13.38,0
